"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","時価総額(百万円)"
"5802","住友電気工業","東P","2836.5","-40.0(-1.39%)","2,836.5","2,252,013"
"5803","フジクラ","東P","6853.0","-37.0(-0.54%)","6,853.0","2,027,552"
"5805","ＳＷＣＣ","東P","6570","-290.0(-4.23%)","6,570.0","202,532"
"5821","平河ヒューテック","東P","1488","-17.0(-1.13%)","1,488.0","26,230"
"5830","いよぎんＨＬＤＧ","東P","1642.5","-27.0(-1.62%)","1,642.5","514,774"
"5831","しずおかＦＧ","東P","1547.0","+14.5(+0.95%)","1,547.0","897,460"
"5832","ちゅうぎんＦＧ","東P","1608.0","-22.0(-1.35%)","1,608.0","297,113"
"5838","楽天銀行","東P","5919.0","-15.0(-0.25%)","5,919.0","1,032,761"
"5844","京都ＦＧ","東P","2185.0","+34.0(+1.58%)","2,185.0","658,478"
"5851","リョービ","東P","2214","-34.0(-1.51%)","2,214.0","72,279"
"5852","アーレスティ","東P","666","+3.0(+0.45%)","666.0","17,014"
"5857","ＡＲＥＨＬＤＧ","東P","1883","+12.0(+0.64%)","1,883.0","150,091"
"5901","東洋製罐グループＨＬＤＧ","東P","2325.0","+27.5(+1.20%)","2,325.0","408,880"
"5902","ホッカンＨＬＤＧ","東P","1677","+0.0(+0.00%)","1,677.0","22,588"
"5911","横河ブリッジＨＬＤＧ","東P","2613","-4.0(-0.15%)","2,613.0","112,790"
"5915","駒井ハルテック","東P","1639","-6.0(-0.36%)","1,639.0","8,150"
"5929","三和ＨＬＤＧ","東P","5046.0","+192.0(+3.96%)","5,046.0","1,145,442"
"5930","文化シヤッター","東P","1855","-10.0(-0.54%)","1,855.0","133,924"
"5932","三協立山","東P","602","-1.0(-0.17%)","602.0","18,996"
"5933","アルインコ","東P","1045","-1.0(-0.10%)","1,045.0","21,986"
"5938","ＬＩＸＩＬ","東P","1741.0","+3.0(+0.17%)","1,741.0","500,260"
"5943","ノーリツ","東P","1674","-15.0(-0.89%)","1,674.0","81,281"
"5946","長府製作所","東P","1880","-22.0(-1.16%)","1,880.0","64,370"
"5947","リンナイ","東P","3324.0","+35.0(+1.06%)","3,324.0","478,286"
"5949","ユニプレス","東P","1056","-11.0(-1.03%)","1,056.0","50,679"
"5957","日東精工","東P","592","+7.0(+1.20%)","592.0","23,671"
"5959","岡部","東P","836","+7.0(+0.84%)","836.0","41,207"
"5970","ジーテクト","東P","1639","-13.0(-0.79%)","1,639.0","72,003"
"5975","東プレ","東P","1871","-29.0(-1.53%)","1,871.0","101,075"
"5976","高周波熱錬","東P","1004","-3.0(-0.30%)","1,004.0","37,287"
"5981","東京製綱","東P","1308","+3.0(+0.23%)","1,308.0","21,279"
"5988","パイオラックス","東P","2370","+0.0(+0.00%)","2,370.0","87,818"
"5989","エイチワン","東P","1119","-46.0(-3.95%)","1,119.0","31,772"
"5991","ニッパツ","東P","1769.0","-22.0(-1.23%)","1,769.0","431,753"
"6005","三浦工業","東P","3251.0","+110.0(+3.50%)","3,251.0","407,321"
"6013","タクマ","東P","1870","+25.0(+1.36%)","1,870.0","155,210"
"6028","テクノプロＨＬＤＧ","東P","3116.0","+4.0(+0.13%)","3,116.0","325,622"
"6035","アイ・アールジャパンＨＬＤＧ","東P","760","-14.0(-1.81%)","760.0","13,558"
"6036","ＫｅｅＰｅｒ技研","東P","4025","+15.0(+0.37%)","4,025.0","113,830"
"6047","Ｇｕｎｏｓｙ","東P","610","-8.0(-1.29%)","610.0","14,785"
"6050","イー・ガーディアン","東P","1968","-25.0(-1.25%)","1,968.0","23,485"
"6055","ジャパンマテリアル","東P","1533","-26.0(-1.67%)","1,533.0","161,194"
"6058","ベクトル","東P","998","-7.0(-0.70%)","998.0","46,820"
"6062","チャーム・ケア","東P","1305","-27.0(-2.03%)","1,305.0","42,689"
"6070","キャリアリンク","東P","2315","-18.0(-0.77%)","2,315.0","29,171"
"6071","ＩＢＪ","東P","702","+32.0(+4.78%)","702.0","29,484"
"6073","アサンテ","東P","1653","-3.0(-0.18%)","1,653.0","20,412"
"6078","バリューＨＲ","東P","1455","-26.0(-1.76%)","1,455.0","39,850"
"6080","Ｍ＆Ａキャピタルパートナーズ","東P","3105","+70.0(+2.31%)","3,105.0","98,612"
"6088","シグマクシス・ＨＬＤＧ","東P","993","-14.0(-1.39%)","993.0","88,377"
"6089","ウィルグループ","東P","1004","+4.0(+0.40%)","1,004.0","23,152"
"6095","メドピア","東P","549","+19.0(+3.58%)","549.0","12,084"
"6098","リクルートＨＬＤＧ","東P","10090.0","-35.0(-0.35%)","10,090.0","16,646,906"
"6099","エラン","東P","797","-4.0(-0.50%)","797.0","48,298"
"6101","ツガミ","東P","1663","+27.0(+1.65%)","1,663.0","79,824"
"6103","オークマ","東P","3345","+55.0(+1.67%)","3,345.0","225,822"
"6104","芝浦機械","東P","3615","-20.0(-0.55%)","3,615.0","89,726"
"6113","アマダ","東P","1464.0","-4.5(-0.31%)","1,464.0","499,393"
"6118","アイダエンジニアリング","東P","823","+1.0(+0.12%)","823.0","55,309"
"6134","ＦＵＪＩ","東P","2245.0","+3.0(+0.13%)","2,245.0","219,614"
"6135","牧野フライス製作所","東P","11870","-10.0(-0.08%)","11,870.0","295,490"
"6136","オーエスジー","東P","1688.0","+21.5(+1.29%)","1,688.0","167,420"
"6140","旭ダイヤモンド工業","東P","850","-5.0(-0.58%)","850.0","44,105"
"6141","ＤＭＧ森精機","東P","2540.0","+112.5(+4.63%)","2,540.0","360,567"
"6143","ソディック","東P","939","+50.0(+5.62%)","939.0","51,450"
"6146","ディスコ","東P","46870.0","-140.0(-0.30%)","46,870.0","5,080,066"
"6151","日東工器","東P","2159","-10.0(-0.46%)","2,159.0","44,809"
"6157","日進工具","東P","761","-1.0(-0.13%)","761.0","19,052"
"6167","冨士ダイス","東P","803","-2.0(-0.25%)","803.0","16,060"
"6178","日本郵政","東P","1601.5","-11.0(-0.68%)","1,601.5","5,134,793"
"6183","ベルシステム２４ＨＬＤＧ","東P","1273","+7.0(+0.55%)","1,273.0","93,888"
"6184","鎌倉新書","東P","512","+14.0(+2.81%)","512.0","20,001"
"6191","エアトリ","東P","1154","-16.0(-1.37%)","1,154.0","25,840"
"6194","アトラエ","東P","785","-26.0(-3.21%)","785.0","19,018"
"6196","ストライク","東P","3265","-40.0(-1.21%)","3,265.0","63,191"
"6197","ソラスト","東P","483","+1.0(+0.21%)","483.0","45,760"
"6200","インソース","東P","1007","-3.0(-0.30%)","1,007.0","85,840"
"6201","豊田自動織機","東P","12835.0","+165.0(+1.30%)","12,835.0","4,182,164"
"6209","リケンＮＰＲ","東P","2584","-44.0(-1.67%)","2,584.0","72,993"
"6222","島精機製作所","東P","940","-6.0(-0.63%)","940.0","33,652"
"6235","オプトラン","東P","1760","-33.0(-1.84%)","1,760.0","78,070"
"6237","イワキポンプ","東P","2408","+36.0(+1.52%)","2,408.0","54,158"
"6238","フリュー","東P","1054","+6.0(+0.57%)","1,054.0","29,824"
"6240","ヤマシンフィルタ","東P","632","+0.0(+0.00%)","632.0","45,074"
"6247","日阪製作所","東P","1051","-13.0(-1.22%)","1,051.0","34,402"
"6250","やまびこ","東P","2505","-15.0(-0.60%)","2,505.0","110,492"
"6254","野村マイクロ・サイエンス","東P","2682","-93.0(-3.35%)","2,682.0","108,911"
"6258","平田機工","東P","5040","+210.0(+4.35%)","5,040.0","54,211"
"6262","ＰＥＧＡＳＵＳ","東P","507","-5.0(-0.98%)","507.0","12,588"
"6264","マルマエ","東P","1511","+26.0(+1.75%)","1,511.0","19,723"
"6266","タツモ","東P","2317","+11.0(+0.48%)","2,317.0","34,390"
"6268","ナブテスコ","東P","2513.0","+64.0(+2.61%)","2,513.0","304,234"
"6269","三井海洋開発","東P","4175","-125.0(-2.91%)","4,175.0","285,342"
"6272","レオン自動機","東P","1338","-23.0(-1.69%)","1,338.0","37,988"
"6273","ＳＭＣ","東P","54980.0","+520.0(+0.95%)","54,980.0","3,703,967"
"6277","ホソカワミクロン","東P","3855","-105.0(-2.65%)","3,855.0","60,641"
"6278","ユニオンツール","東P","4555","-210.0(-4.41%)","4,555.0","90,098"
"6279","瑞光","東P","1241","-68.0(-5.19%)","1,241.0","35,741"
"6282","オイレス工業","東P","2314","-22.0(-0.94%)","2,314.0","77,057"
"6284","日精エー・エス・ビー機械","東P","5330","-80.0(-1.48%)","5,330.0","81,809"
"6287","サトーＨＬＤＧ","東P","2116","+5.0(+0.24%)","2,116.0","71,174"
"6289","技研製作所","東P","1441","-5.0(-0.35%)","1,441.0","40,629"
"6293","日精樹脂工業","東P","950","-7.0(-0.73%)","950.0","21,158"
"6294","オカダアイヨン","東P","2136","+21.0(+0.99%)","2,136.0","17,897"
"6298","ワイエイシイＨＬＤＧ","東P","1008","+33.0(+3.38%)","1,008.0","19,674"
"6301","小松製作所","東P","4800.0","+37.0(+0.78%)","4,800.0","4,564,575"
"6302","住友重機械工業","東P","2992.5","+42.0(+1.42%)","2,992.5","367,795"
"6305","日立建機","東P","3903.0","+28.0(+0.72%)","3,903.0","839,594"
"6306","日工","東P","701","-2.0(-0.28%)","701.0","28,040"
"6309","巴工業","東P","3690","+15.0(+0.41%)","3,690.0","38,868"
"6310","井関農機","東P","996","+8.0(+0.81%)","996.0","22,893"
"6315","ＴＯＷＡ","東P","1681","-33.0(-1.93%)","1,681.0","126,311"
"6323","ローツェ","東P","1714.5","+46.0(+2.76%)","1,714.5","302,438"
"6326","クボタ","東P","1931.0","+27.0(+1.42%)","1,931.0","2,222,382"
"6328","荏原実業","東P","4095","-110.0(-2.62%)","4,095.0","52,948"
"6330","東洋エンジニアリング","東P","734","-10.0(-1.34%)","734.0","28,302"
"6331","三菱化工機","東P","3870","+70.0(+1.84%)","3,870.0","30,627"
"6332","月島ＨＬＤＧ","東P","1571","+16.0(+1.03%)","1,571.0","71,678"
"6333","帝国電機製作所","東P","2955","-8.0(-0.27%)","2,955.0","54,609"
"6339","新東工業","東P","913","-5.0(-0.54%)","913.0","49,832"
"6340","澁谷工業","東P","3335","-55.0(-1.62%)","3,335.0","93,880"
"6345","アイチ","東P","1501","-1.0(-0.07%)","1,501.0","111,930"
"6349","小森コーポレーション","東P","1331","+13.0(+0.99%)","1,331.0","73,776"
"6351","鶴見製作所","東P","3195","-70.0(-2.14%)","3,195.0","87,862"
"6358","酒井重工業","東P","2313","-24.0(-1.03%)","2,313.0","20,460"
"6361","荏原製作所","東P","2656.5","-45.5(-1.68%)","2,656.5","1,227,451"
"6363","酉島製作所","東P","2413","-1.0(-0.04%)","2,413.0","70,087"
"6364","北越工業","東P","2158","+62.0(+2.96%)","2,158.0","65,097"
"6367","ダイキン工業","東P","15955.0","-175.0(-1.08%)","15,955.0","4,676,634"
"6368","オルガノ","東P","6960","+60.0(+0.87%)","6,960.0","322,664"
"6369","トーヨーカネツ","東P","3860","+0.0(+0.00%)","3,860.0","30,969"
"6370","栗田工業","東P","5284.0","+180.0(+3.53%)","5,284.0","614,004"
"6371","椿本チエイン","東P","1856","+9.0(+0.49%)","1,856.0","206,469"
"6376","日機装","東P","1227","-19.0(-1.52%)","1,227.0","84,879"
"6379","レイズネクスト","東P","1585","-2.0(-0.13%)","1,585.0","85,856"
"6381","アネスト岩田","東P","1263","-32.0(-2.47%)","1,263.0","52,725"
"6383","ダイフク","東P","3922.0","+119.0(+3.13%)","3,922.0","1,489,694"
"6387","サムコ","東P","3090","+55.0(+1.81%)","3,090.0","24,852"
"6390","加藤製作所","東P","1337","-1.0(-0.07%)","1,337.0","15,701"
"6395","タダノ","東P","1133.5","+4.0(+0.35%)","1,133.5","146,789"
"6406","フジテック","東P","5767.0","-28.0(-0.48%)","5,767.0","455,016"
"6407","ＣＫＤ","東P","2330","-7.0(-0.30%)","2,330.0","158,229"
"6412","平和","東P","2322","-18.0(-0.77%)","2,322.0","231,757"
"6413","理想科学工業","東P","1432","-34.0(-2.32%)","1,432.0","103,104"
"6417","ＳＡＮＫＹＯ","東P","2083.0","-23.5(-1.12%)","2,083.0","541,580"
"6418","日本金銭機械","東P","1169","+4.0(+0.34%)","1,169.0","34,687"
"6419","マースグループＨＬＤＧ","東P","3180","-10.0(-0.31%)","3,180.0","72,250"
"6420","フクシマガリレイ","東P","2712","-70.0(-2.52%)","2,712.0","119,687"
"6430","ダイコク電機","東P","2667","+7.0(+0.26%)","2,667.0","39,464"
"6432","竹内製作所","東P","5590","+70.0(+1.27%)","5,590.0","273,904"
"6436","アマノ","東P","3827.0","+1.0(+0.03%)","3,827.0","293,370"
"6440","ＪＵＫＩ","東P","450","+4.0(+0.90%)","450.0","13,443"
"6445","ジャノメ","東P","1010","-3.0(-0.30%)","1,010.0","18,757"
"6448","ブラザー工業","東P","2627.5","+10.0(+0.38%)","2,627.5","677,254"
"6454","マックス","東P","4145","-10.0(-0.24%)","4,145.0","192,898"
"6455","モリタＨＬＤＧ","東P","2145","+13.0(+0.61%)","2,145.0","100,640"
"6457","グローリー","東P","2633.5","-37.0(-1.39%)","2,633.5","155,214"
"6458","新晃工業","東P","1290","-12.0(-0.92%)","1,290.0","99,812"
"6459","大和冷機工業","東P","1598","-32.0(-1.96%)","1,598.0","82,644"
"6460","セガサミーＨＬＤＧ","東P","2995.5","-51.5(-1.69%)","2,995.5","722,603"
"6463","ＴＰＲ","東P","2327","-35.0(-1.48%)","2,327.0","79,816"
"6464","ツバキ・ナカシマ","東P","469","+8.0(+1.74%)","469.0","19,510"
"6465","ホシザキ","東P","5864.0","+27.0(+0.46%)","5,864.0","849,636"
"6471","日本精工","東P","637.2","+1.8(+0.28%)","637.2","318,600"
"6472","ＮＴＮ","東P","241.0","+2.3(+0.96%)","241.0","128,324"
"6473","ジェイテクト","東P","1165.0","-2.5(-0.21%)","1,165.0","399,929"
"6474","不二越","東P","3285","+5.0(+0.15%)","3,285.0","81,860"
"6479","ミネベアミツミ","東P","2338.5","-10.0(-0.43%)","2,338.5","998,728"
"6480","日本トムソン","東P","480","-1.0(-0.21%)","480.0","35,281"
"6481","ＴＨＫ","東P","3756.0","+25.0(+0.67%)","3,756.0","487,743"
"6486","イーグル工業","東P","2012","-16.0(-0.79%)","2,012.0","100,113"
"6490","ＰＩＬＬＡＲ","東P","3705","-85.0(-2.24%)","3,705.0","92,782"
"6498","キッツ","東P","1173","+14.0(+1.21%)","1,173.0","102,714"
"6501","日立製作所","東P","4379.0","+34.0(+0.78%)","4,379.0","20,057,318"
"6503","三菱電機","東P","2360.5","-22.0(-0.92%)","2,360.5","4,988,213"
"6504","富士電機","東P","6770.0","-9.0(-0.13%)","6,770.0","1,010,741"
"6506","安川電機","東P","4253.0","+74.0(+1.77%)","4,253.0","1,134,235"
"6507","シンフォニア　テクノロジー","東P","6470","-400.0(-5.82%)","6,470.0","192,736"
"6508","明電舎","東P","4850","+175.0(+3.74%)","4,850.0","220,809"
"6516","山洋電気","東P","9490","-10.0(-0.11%)","9,490.0","123,106"
"6517","デンヨー","東P","2694","-12.0(-0.44%)","2,694.0","61,584"
"6523","ＰＨＣＨＬＤＧ","東P","1110","+9.0(+0.82%)","1,110.0","140,261"
"6525","ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩ","東P","3401.0","+189.0(+5.88%)","3,401.0","805,341"
"6526","ソシオネクスト","東P","2014.5","-5.5(-0.27%)","2,014.5","361,518"
"6532","ベイカレント","東P","6895.0","-128.0(-1.82%)","6,895.0","1,071,562"
"6533","Ｏｒｃｈｅｓｔｒａ　ＨＬＤＧ","東P","748","+2.0(+0.27%)","748.0","7,506"
"6535","アイモバイル","東P","496","+10.0(+2.06%)","496.0","28,841"
"6539","ＭＳ―Ｊａｐａｎ","東P","1030","+1.0(+0.10%)","1,030.0","25,746"
"6544","ジャパンエレベーターサービスＨ","東P","3005","+5.0(+0.17%)","3,005.0","267,647"
"6560","エル・ティー・エス","東P","2153","-12.0(-0.55%)","2,153.0","10,027"
"6564","ミダックＨＬＤＧ","東P","1859","-8.0(-0.43%)","1,859.0","51,631"
"6571","キュービーネットＨＬＤＧ","東P","1033","+12.0(+1.18%)","1,033.0","13,563"
"6572","オープングループ","東P","275","-12.0(-4.18%)","275.0","17,201"
"6584","三櫻工業","東P","658","+8.0(+1.23%)","658.0","24,420"
"6586","マキタ","東P","4856.0","+66.0(+1.38%)","4,856.0","1,359,765"
"6588","東芝テック","東P","3110","+60.0(+1.97%)","3,110.0","179,227"
"6590","芝浦メカトロニクス","東P","9290","-20.0(-0.21%)","9,290.0","129,799"
"6592","マブチモーター","東P","2356.0","+28.0(+1.20%)","2,356.0","307,045"
"6594","ニデック","東P","2781.5","+131.0(+4.94%)","2,781.5","3,317,131"
"6615","ユー・エム・シー・エレクトロニ","東P","306","-3.0(-0.97%)","306.0","8,653"
"6616","トレックス・セミコンダクター","東P","1261","+6.0(+0.48%)","1,261.0","14,570"
"6617","東光高岳","東P","2106","-39.0(-1.82%)","2,106.0","34,278"
"6619","ダブル・スコープ","東P","266","+9.0(+3.50%)","266.0","14,690"
"6620","宮越ＨＬＤＧ","東P","1255","-21.0(-1.65%)","1,255.0","50,219"
"6622","ダイヘン","東P","7460","+120.0(+1.63%)","7,460.0","188,017"
"6630","ヤーマン","東P","762","+6.0(+0.79%)","762.0","44,462"
"6632","ＪＶＣケンウッド","東P","1426.5","-24.0(-1.65%)","1,426.5","233,946"
"6638","ミマキエンジニアリング","東P","1590","+20.0(+1.27%)","1,590.0","50,944"
"6640","Ｉ−ＰＥＸ","東P","2937","+0.0(+0.00%)","2,937.0","54,989"
"6644","大崎電気工業","東P","802","+17.0(+2.17%)","802.0","38,710"
"6645","オムロン","東P","4534.0","+26.0(+0.58%)","4,534.0","935,114"
"6651","日東工業","東P","3010","-30.0(-0.99%)","3,010.0","121,779"
"6652","ＩＤＥＣ","東P","2561","+23.0(+0.91%)","2,561.0","85,088"
"6653","正興電機製作所","東P","1198","-2.0(-0.17%)","1,198.0","16,663"
"6674","ジーエスユアサコーポレーション","東P","2432.5","-12.5(-0.51%)","2,432.5","244,336"
"6699","ダイヤモンドエレクトリックＨＤ","東P","600","+32.0(+5.63%)","600.0","5,480"
"6701","日本電気","東P","15580.0","-20.0(-0.13%)","15,580.0","4,251,001"
"6702","富士通","東P","3058.0","-48.0(-1.55%)","3,058.0","6,333,448"
"6703","沖電気工業","東P","948","-19.0(-1.96%)","948.0","82,682"
"6706","電気興業","東P","1631","+7.0(+0.43%)","1,631.0","17,778"
"6707","サンケン電気","東P","6416.0","+587.0(+10.07%)","6,416.0","161,029"
"6718","アイホン","東P","2647","-6.0(-0.23%)","2,647.0","48,228"
"6723","ルネサスエレクトロニクス","東P","2554.5","+42.5(+1.69%)","2,554.5","4,778,486"
"6724","セイコーエプソン","東P","2459.5","+43.5(+1.80%)","2,459.5","946,773"
"6727","ワコム","東P","645","-5.0(-0.77%)","645.0","94,170"
"6728","アルバック","東P","5727.0","+32.0(+0.56%)","5,727.0","282,661"
"6737","ＥＩＺＯ","東P","2151","+9.0(+0.42%)","2,151.0","94,563"
"6740","ジャパンディスプレイ","東P","20","+0.0(+0.00%)","20.0","77,608"
"6741","日本信号","東P","902","-1.0(-0.11%)","902.0","61,642"
"6742","京三製作所","東P","503","-4.0(-0.79%)","503.0","31,611"
"6744","能美防災","東P","3065","+25.0(+0.82%)","3,065.0","186,452"
"6745","ホーチキ","東P","2533","-8.0(-0.31%)","2,533.0","72,981"
"6750","エレコム","東P","1644","-15.0(-0.90%)","1,644.0","151,612"
"6752","パナソニック　ＨＬＤＧ","東P","1850.0","-50.5(-2.66%)","1,850.0","4,540,727"
"6753","シャープ","東P","982.6","-7.3(-0.74%)","982.6","639,090"
"6754","アンリツ","東P","1458.5","-11.0(-0.75%)","1,458.5","198,167"
"6755","富士通ゼネラル","東P","2760","+3.0(+0.11%)","2,760.0","301,962"
"6758","ソニーグループ","東P","3769.0","-13.0(-0.34%)","3,769.0","23,178,638"
"6762","ＴＤＫ","東P","1679.5","+14.5(+0.87%)","1,679.5","3,264,713"
"6763","帝国通信工業","東P","2423","-34.0(-1.38%)","2,423.0","23,881"
"6768","タムラ製作所","東P","584","-7.0(-1.18%)","584.0","48,339"
"6770","アルプスアルパイン","東P","1560.5","+5.0(+0.32%)","1,560.5","342,189"
"6779","日本電波工業","東P","886","-39.0(-4.22%)","886.0","20,492"
"6785","鈴木","東P","1699","-61.0(-3.47%)","1,699.0","24,473"
"6787","メイコー","東P","8220","-230.0(-2.72%)","8,220.0","220,323"
"6788","日本トリム","東P","3830","+30.0(+0.79%)","3,830.0","33,155"
"6794","フォスター電機","東P","1497","-11.0(-0.73%)","1,497.0","37,425"
"6798","ＳＭＫ","東P","2754","-61.0(-2.17%)","2,754.0","19,829"
"6800","ヨコオ","東P","1486","-10.0(-0.67%)","1,486.0","35,441"
"6804","ホシデン","東P","2125","-7.0(-0.33%)","2,125.0","127,850"
"6806","ヒロセ電機","東P","18370.0","+90.0(+0.49%)","18,370.0","655,698"
"6807","日本航空電子工業","東P","2704","-43.0(-1.57%)","2,704.0","190,098"
"6809","ＴＯＡ","東P","959","-13.0(-1.34%)","959.0","32,737"
"6810","マクセル","東P","1911","-14.0(-0.73%)","1,911.0","89,733"
"6814","古野電気","東P","2349","-16.0(-0.68%)","2,349.0","74,920"
"6817","スミダコーポレーション","東P","974","-7.0(-0.71%)","974.0","32,236"
"6820","アイコム","東P","2773","+8.0(+0.29%)","2,773.0","41,179"
"6823","リオン","東P","2542","-27.0(-1.05%)","2,542.0","31,360"
"6841","横河電機","東P","2945.5","+103.0(+3.62%)","2,945.5","791,233"
"6844","新電元工業","東P","2645","+13.0(+0.49%)","2,645.0","27,346"
"6845","アズビル","東P","1184.5","+4.5(+0.38%)","1,184.5","664,117"
"6849","日本光電工業","東P","2292.5","-20.5(-0.89%)","2,292.5","391,930"
"6850","チノー","東P","2118","-78.0(-3.55%)","2,118.0","19,613"
"6856","堀場製作所","東P","9929.0","+208.0(+2.14%)","9,929.0","419,334"
"6857","アドバンテスト","東P","9577.0","+74.0(+0.78%)","9,577.0","7,337,334"
"6859","エスペック","東P","2409","-6.0(-0.25%)","2,409.0","57,289"
"6861","キーエンス","東P","63600.0","-1,400.0(-2.15%)","63,600.0","15,468,010"
"6866","日置電機","東P","7210","+200.0(+2.85%)","7,210.0","101,116"
"6869","シスメックス","東P","2782.5","+18.0(+0.65%)","2,782.5","1,751,444"
"6871","日本マイクロニクス","東P","4835","-60.0(-1.23%)","4,835.0","193,522"
"6875","メガチップス","東P","5130","+60.0(+1.18%)","5,130.0","105,947"
"6879","ＩＭＡＧＩＣＡ　ＧＲＯＵＰ","東P","508","-8.0(-1.55%)","508.0","22,729"
"6902","デンソー","東P","1929.5","-19.5(-1.00%)","1,929.5","5,616,736"
"6905","コーセル","東P","1025","-2.0(-0.19%)","1,025.0","42,216"
"6908","イリソ電子工業","東P","2723","+44.0(+1.64%)","2,723.0","66,607"
"6914","オプテックスグループ","東P","1688","+23.0(+1.38%)","1,688.0","63,698"
"6920","レーザーテック","東P","15010.0","-5.0(-0.03%)","15,010.0","1,415,239"
"6923","スタンレー電気","東P","2536.0","-10.5(-0.41%)","2,536.0","424,780"
"6925","ウシオ電機","東P","2112.5","+26.5(+1.27%)","2,112.5","227,094"
"6928","エノモト","東P","1447","-6.0(-0.41%)","1,447.0","9,934"
"6929","日本セラミック","東P","2680","-11.0(-0.41%)","2,680.0","72,980"
"6937","古河電池","東P","1383","+2.0(+0.14%)","1,383.0","45,362"
"6941","山一電機","東P","2136","-23.0(-1.07%)","2,136.0","46,628"
"6947","図研","東P","4895","+60.0(+1.24%)","4,895.0","108,913"
"6951","日本電子","東P","5361.0","+31.0(+0.58%)","5,361.0","276,267"
"6952","カシオ計算機","東P","1259.0","+19.5(+1.57%)","1,259.0","299,291"
"6954","ファナック","東P","4447.0","-6.0(-0.13%)","4,447.0","4,426,628"
"6958","日本シイエムケイ","東P","505","-2.0(-0.39%)","505.0","35,985"
"6961","エンプラス","東P","4905","+160.0(+3.37%)","4,905.0","47,740"
"6962","大真空","東P","602","-12.0(-1.95%)","602.0","21,791"
"6963","ローム","東P","1603.5","+18.5(+1.17%)","1,603.5","647,429"
"6965","浜松ホトニクス","東P","1729.0","-5.5(-0.32%)","1,729.0","570,966"
"6966","三井ハイテック","東P","906","+38.0(+4.38%)","906.0","178,785"
"6967","新光電気工業","東P","5901.0","-3.0(-0.05%)","5,901.0","797,649"
"6971","京セラ","東P","1724.0","-17.0(-0.98%)","1,724.0","2,604,057"
"6976","太陽誘電","東P","2644.0","+55.0(+2.12%)","2,644.0","344,298"
"6981","村田製作所","東P","2750.0","+14.5(+0.53%)","2,750.0","5,398,256"
"6986","双葉電子工業","東P","534","+2.0(+0.38%)","534.0","22,656"
"6988","日東電工","東P","2933.0","+42.0(+1.45%)","2,933.0","2,072,929"
"6995","東海理化電機製作所","東P","2191","-55.0(-2.45%)","2,191.0","206,467"
"6996","ニチコン","東P","1249","+19.0(+1.54%)","1,249.0","97,422"
"6997","日本ケミコン","東P","886","-12.0(-1.34%)","886.0","19,439"
"6999","ＫＯＡ","東P","961","-4.0(-0.41%)","961.0","38,901"
"7003","三井Ｅ＆Ｓ","東P","1760","-48.0(-2.65%)","1,760.0","181,454"
"7004","カナデビア","東P","965","-11.0(-1.13%)","965.0","164,257"
"7011","三菱重工業","東P","2150.5","-22.5(-1.04%)","2,150.5","7,255,030"
"7012","川崎重工業","東P","8066.0","+161.0(+2.04%)","8,066.0","1,354,457"
"7013","ＩＨＩ","東P","9593.0","-187.0(-1.91%)","9,593.0","1,483,844"
"7033","マネジメントソリューションズ","東P","1973","-41.0(-2.04%)","1,973.0","33,191"
"7034","プロレド・パートナーズ","東P","444","+7.0(+1.60%)","444.0","4,971"
"7038","フロンティア・マネジメント","東P","663","-3.0(-0.45%)","663.0","7,795"
"7059","コプロ・ＨＬＤＧ","東P","1725","+8.0(+0.47%)","1,725.0","34,500"
"7071","アンビスＨＬＤＧ","東P","670","-14.0(-2.05%)","670.0","65,735"
"7085","カーブスＨＬＤＧ","東P","680","-17.0(-2.44%)","680.0","63,823"
"7088","フォーラムエンジニアリング","東P","1092","+37.0(+3.51%)","1,092.0","58,334"
"7092","Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊｐ","東P","1403","-21.0(-1.47%)","1,403.0","26,315"
"7095","Ｍａｃｂｅｅ　Ｐｌａｎｅｔ","東P","3390","+5.0(+0.15%)","3,390.0","49,678"
"7102","日本車輌製造","東P","2100","-38.0(-1.78%)","2,100.0","30,818"
"7128","フルサト・マルカＨＬＤＧ","東P","2282","-41.0(-1.76%)","2,282.0","57,378"
"7130","ヤマエグループＨＬＤＧ","東P","2231","-13.0(-0.58%)","2,231.0","61,859"
"7148","ＦＰＧ","東P","2488","-30.0(-1.19%)","2,488.0","210,344"
"7164","全国保証","東P","5508.0","+48.0(+0.88%)","5,508.0","379,346"
"7167","めぶきフィナンシャルグループ","東P","638.6","-7.5(-1.16%)","638.6","649,491"
"7172","ジャパンインベストメントアドバ","東P","1823","+21.0(+1.17%)","1,823.0","111,244"
"7173","東京きらぼしＦＧ","東P","5180","-70.0(-1.33%)","5,180.0","158,768"
"7180","九州ＦＧ","東P","768.0","-4.1(-0.53%)","768.0","355,873"
"7181","かんぽ生命保険","東P","2863.5","-53.5(-1.83%)","2,863.5","1,097,271"
"7182","ゆうちょ銀行","東P","1557.5","-20.5(-1.30%)","1,557.5","5,634,417"
"7184","富山第一銀行","東P","1027","-7.0(-0.68%)","1,027.0","66,046"
"7186","コンコルディアＦＧ","東P","916.7","-3.3(-0.36%)","916.7","1,070,354"
"7187","ジェイリース","東P","1338","+3.0(+0.22%)","1,338.0","24,127"
