"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","時価総額(百万円)"
"2918","わらべや日洋ＨＬＤＧ","東P","2138","+4.0(+0.19%)","2,138.0","37,684"
"2922","なとり","東P","2182","-9.0(-0.41%)","2,182.0","32,800"
"2929","ファーマフーズ","東P","944","-9.0(-0.94%)","944.0","27,451"
"2930","北の達人","東P","172","-1.0(-0.58%)","172.0","24,264"
"2931","ユーグレナ","東P","500","-2.0(-0.40%)","500.0","68,206"
"2933","紀文食品","東P","1050","+1.0(+0.10%)","1,050.0","23,971"
"2935","ピックルスＨＬＤＧ","東P","1016","+4.0(+0.40%)","1,016.0","13,064"
"2975","スター・マイカ・ＨＬＤＧ","東P","867","+8.0(+0.93%)","867.0","29,478"
"2980","ＳＲＥ　ＨＬＤＧ","東P","3355","-100.0(-2.89%)","3,355.0","54,444"
"2982","ＡＤワークスグループ","東P","228","+0.0(+0.00%)","228.0","11,325"
"3002","グンゼ","東P","5160","+0.0(+0.00%)","5,160.0","89,235"
"3003","ヒューリック","東P","1368.0","-7.5(-0.55%)","1,368.0","1,050,498"
"3028","アルペン","東P","2244","-11.0(-0.49%)","2,244.0","87,265"
"3031","ラクーンＨＬＤＧ","東P","893","+7.0(+0.79%)","893.0","19,859"
"3034","クオールＨＬＤＧ","東P","1562","-26.0(-1.64%)","1,562.0","60,766"
"3036","アルコニックス","東P","1491","+3.0(+0.20%)","1,491.0","46,325"
"3038","神戸物産","東P","3226.0","-97.0(-2.92%)","3,226.0","882,634"
"3040","ソリトンシステムズ","東P","1118","+7.0(+0.63%)","1,118.0","22,068"
"3046","ジンズＨＬＤＧ","東P","6990","-130.0(-1.83%)","6,990.0","167,620"
"3048","ビックカメラ","東P","1640.0","-8.0(-0.49%)","1,640.0","308,560"
"3050","ＤＣＭ　ＨＬＤＧ","東P","1377","-16.0(-1.15%)","1,377.0","201,730"
"3064","ＭｏｎｏｔａＲＯ","東P","2620.5","-37.0(-1.39%)","2,620.5","1,313,790"
"3073","ＤＤグループ","東P","1308","+1.0(+0.08%)","1,308.0","24,139"
"3076","あいＨＬＤＧ","東P","1993","-50.0(-2.45%)","1,993.0","112,785"
"3086","Ｊ．フロント　リテイリング","東P","2046.5","+4.0(+0.20%)","2,046.5","553,713"
"3087","ドトール・日レスＨＬＤＧ","東P","2362","+7.0(+0.30%)","2,362.0","107,730"
"3088","マツキヨココカラ＆カンパニー","東P","2332.0","+90.5(+4.04%)","2,332.0","969,355"
"3091","ブロンコビリー","東P","3530","-25.0(-0.70%)","3,530.0","53,229"
"3092","ＺＯＺＯ","東P","4830.0","-17.0(-0.35%)","4,830.0","1,451,290"
"3093","トレジャー・ファクトリー","東P","1536","+21.0(+1.39%)","1,536.0","37,398"
"3097","物語コーポレーション","東P","3195","-50.0(-1.54%)","3,195.0","125,254"
"3099","三越伊勢丹ＨＬＤＧ","東P","2374.5","-5.5(-0.23%)","2,374.5","912,794"
"3101","東洋紡","東P","976","+4.0(+0.41%)","976.0","86,912"
"3103","ユニチカ","東P","151","+0.0(+0.00%)","151.0","8,721"
"3104","富士紡ＨＬＤＧ","東P","4770","-75.0(-1.55%)","4,770.0","55,904"
"3105","日清紡ＨＬＤＧ","東P","925.2","+0.4(+0.04%)","925.2","156,587"
"3106","倉敷紡績","東P","6070","+230.0(+3.94%)","6,070.0","109,260"
"3107","ダイワボウＨＬＤＧ","東P","2701.5","-28.0(-1.03%)","2,701.5","260,307"
"3109","シキボウ","東P","1015","+2.0(+0.20%)","1,015.0","13,003"
"3110","日東紡績","東P","5090","-170.0(-3.23%)","5,090.0","192,010"
"3116","トヨタ紡織","東P","1997.5","-21.0(-1.04%)","1,997.5","374,862"
"3132","マクニカＨＬＤＧ","東P","1852.5","+29.5(+1.62%)","1,852.5","331,731"
"3135","マーケットエンタープライズ","東P","1512","-34.0(-2.20%)","1,512.0","8,069"
"3139","ラクト・ジャパン","東P","2866","-37.0(-1.27%)","2,866.0","28,722"
"3141","ウエルシアＨＬＤＧ","東P","2215.0","+13.0(+0.59%)","2,215.0","464,516"
"3148","クリエイトＳＤ　ＨＬＤＧ","東P","2829","-3.0(-0.11%)","2,829.0","189,032"
"3150","グリムス","東P","2220","+22.0(+1.00%)","2,220.0","52,869"
"3151","バイタルケーエスケーＨＬＤＧ","東P","1179","-24.0(-2.00%)","1,179.0","61,194"
